"Data"
1875
2225
2330
2515
2528
2585
2617
2671
2760
2784
2790
2841
2841
2869
2898
2926
2955
2959
2977
2983
3010
3011
3015
3040
3068
3068
3068
3068
3182
3239
3239
3280
3352
3381
3409
3409
3438
3438
3494
3510
3551
3551
3665
3722
3799
3835
3860
3920
4034
4190
